Date,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2014-07-07,,,,,,,0.7,,13.5,,,,,11.4,27.8,19.7,9,17.9,,,
2014-08-12,,,,,,,0.7,,13.6,,,,,10.6,26.5,19.8,7.9,20.9,,,
2014-09-09,,,,,,,0.7,,11.4,,,,,9.6,25.1,20.7,8,24.5,,,
2014-11-03,,,,,,,0.6,,9.8,,,,,8.5,22.8,20.8,7.3,30.2,0,,
2014-12-01,,,,,,,0.5,,9.1,,,,,7.8,21.3,20.4,7,33.9,0,,
2015-01-05,,,,,,,0.4,,7.8,,,,,6.7,19.2,20.3,6.5,39.1,0,,
2015-02-02,,,,,,,0.4,,7.4,,,,,6.4,18.4,19.8,6.3,39.7,0,1.6,
2015-03-02,,,,,,,0.4,,6.9,,,,,5.9,17.3,19.4,5.9,40.9,0,3.3,
2015-04-06,,,,,,,0.4,,6.4,,,,,5.7,16.5,18.6,5.6,41.4,0,5,0.4
2015-05-04,,,,,,,0.3,,5.7,,,,,5.3,15.6,18.1,5.5,39.8,0,9,0.7
2015-06-01,,,,,,,0.3,,5.6,,,,,5.1,14.7,17.5,5.2,39.2,0,11.6,0.8
